DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
5.000000,756.000000,SONSÓN,2011.000000,5.000000,5.712788054,-75.31030244,5756.000000,5756.000000,13052.000000,3543.000000,10231.000000,26826.000000
5.000000,761.000000,SOPETRÁN,2011.000000,5.000000,6.503132204,-75.74593737,5761.000000,5761.000000,1134.000000,888.000000,54.000000,2076.000000
5.000000,789.000000,TÁMESIS,2011.000000,5.000000,5.665176758,-75.71422154,5789.000000,5789.000000,1576.000000,413.000000,152.000000,2141.000000
5.000000,679.000000,SANTA BÁRBARA,2011.000000,5.000000,5.874488592,-75.56750733,5679.000000,5679.000000,2044.000000,1605.000000,1059.000000,4708.000000
5.000000,686.000000,SANTA ROSA DE OSOS,2011.000000,5.000000,6.645172496,-75.46007968,5686.000000,5686.000000,1940.000000,1721.000000,210.000000,3871.000000
5.000000,697.000000,EL SANTUARIO,2011.000000,5.000000,6.137115545,-75.26540831,5697.000000,5697.000000,2269.000000,5087.000000,2409.000000,9765.000000
5.000000,736.000000,SEGOVIA,2011.000000,5.000000,7.079920327,-74.69930004,5736.000000,5736.000000,12539.000000,3141.000000,1070.000000,16750.000000
5.000000,842.000000,URAMITA,2011.000000,5.000000,6.898876985,-76.17468856,5842.000000,5842.000000,4811.000000,1799.000000,2462.000000,9072.000000
5.000000,847.000000,URRAO,2011.000000,5.000000,6.314001176,-76.13224047,5847.000000,5847.000000,22570.000000,4930.000000,18222.000000,45722.000000
5.000000,861.000000,VENECIA,2011.000000,5.000000,5.963085926,-75.7345341,5861.000000,5861.000000,769.000000,474.000000,58.000000,1301.000000
5.000000,887.000000,YARUMAL,2011.000000,5.000000,6.9655797,-75.41959841,5887.000000,5887.000000,5601.000000,5595.000000,1660.000000,12856.000000
5.000000,890.000000,YOLOMBÓ,2011.000000,5.000000,6.595378409,-75.01381252,5890.000000,5890.000000,5161.000000,1098.000000,1218.000000,7477.000000
5.000000,690.000000,SANTO DOMINGO,2011.000000,5.000000,6.472524833,-75.165171,5690.000000,5690.000000,3259.000000,873.000000,1193.000000,5325.000000
5.000000,790.000000,TARAZÁ,2011.000000,5.000000,7.581611353,-75.399711,5790.000000,5790.000000,18810.000000,7032.000000,9051.000000,34893.000000
5.000000,792.000000,TARSO,2011.000000,5.000000,5.864841083,-75.8227935,5792.000000,5792.000000,452.000000,154.000000,10.000000,616.000000
5.000000,854.000000,VALDIVIA,2011.000000,5.000000,7.163137681,-75.43971192,5854.000000,5854.000000,7222.000000,4836.000000,1394.000000,13452.000000
5.000000,856.000000,VALPARAÍSO,2011.000000,5.000000,5.614698523,-75.6247152,5856.000000,5856.000000,431.000000,272.000000,9.000000,712.000000
5.000000,858.000000,VEGACHÍ,2011.000000,5.000000,6.771813274,-74.79753386,5858.000000,5858.000000,4605.000000,1219.000000,801.000000,6625.000000
5.000000,873.000000,VIGÍA DEL FUERTE,2011.000000,5.000000,6.588794113,-76.89634759,5873.000000,5873.000000,12087.000000,1816.000000,1737.000000,15640.000000
5.000000,809.000000,TITIRIBÍ,2011.000000,5.000000,6.062945865,-75.79470812,5809.000000,5809.000000,549.000000,335.000000,34.000000,918.000000
5.000000,819.000000,TOLEDO,2011.000000,5.000000,7.010341916,-75.69216654,5819.000000,5819.000000,2518.000000,478.000000,1227.000000,4223.000000
5.000000,893.000000,CASABE,2011.000000,5.000000,7.002806783,-73.91035362,5893.000000,5893.000000,12132.000000,1665.000000,3447.000000,17244.000000
5.000000,895.000000,ZARAGOZA,2011.000000,5.000000,7.488149672,-74.86796174,5895.000000,5895.000000,11500.000000,2737.000000,3829.000000,18066.000000
8.000000,78.000000,BARANOA,2008.000000,5.000000,10.79495177,-74.91621327,8078.000000,8078.000000,614.000000,2242.000000,6.000000,2862.000000
8.000000,141.000000,CANDELARIA,2012.000000,5.000000,10.45988484,-74.87980865,8141.000000,8141.000000,83.000000,618.000000,2.000000,703.000000
8.000000,296.000000,GALAPA,2006.000000,5.000000,10.90513906,-74.88385046,8296.000000,8296.000000,530.000000,3843.000000,9.000000,4382.000000
8.000000,421.000000,LURUACO,2012.000000,5.000000,10.6108622,-75.14235164,8421.000000,8421.000000,675.000000,817.000000,40.000000,1532.000000
8.000000,433.000000,MALAMBO,2012.000000,5.000000,10.85759676,-74.77515839,8433.000000,8433.000000,975.000000,13682.000000,30.000000,14687.000000
8.000000,436.000000,MANATÍ,2006.000000,5.000000,10.44704656,-74.95941141,8436.000000,8436.000000,155.000000,399.000000,8.000000,562.000000
8.000000,549.000000,PIOJÓ,2012.000000,5.000000,10.74960351,-75.10754905,8549.000000,8549.000000,431.000000,230.000000,26.000000,687.000000
8.000000,560.000000,PONEDERA,2006.000000,5.000000,10.64191783,-74.74939644,8560.000000,8560.000000,192.000000,1984.000000,3.000000,2179.000000
8.000000,573.000000,PUERTO COLOMBIA,2006.000000,5.000000,10.98749199,-74.95130796,8573.000000,8573.000000,154.000000,2748.000000,5.000000,2907.000000
8.000000,606.000000,REPELÓN,2006.000000,5.000000,10.49430706,-75.12459136,8606.000000,8606.000000,831.000000,330.000000,251.000000,1412.000000
8.000000,638.000000,SABANALARGA,2012.000000,5.000000,10.63383341,-74.92062512,8638.000000,8638.000000,869.000000,3734.000000,75.000000,4678.000000
8.000000,758.000000,SOLEDAD,2010.000000,5.000000,10.90617979,-74.793567,8758.000000,8758.000000,2405.000000,62128.000000,170.000000,64703.000000
8.000000,832.000000,TUBARÁ,2012.000000,5.000000,10.87398455,-74.97861141,8832.000000,8832.000000,174.000000,489.000000,1.000000,664.000000
8.000000,1.000000,BARRANQUILLA,2011.000000,5.000000,10.97945934,-74.81683479,8001.000000,8001.000000,5939.000000,117739.000000,413.000000,124091.000000
8.000000,137.000000,CAMPO DE LA CRUZ,2011.000000,5.000000,10.37862311,-74.88125195,8137.000000,8137.000000,141.000000,1105.000000,10.000000,1256.000000
8.000000,520.000000,PALMAR DE VARELA,2011.000000,5.000000,10.74060208,-74.75374593,8520.000000,8520.000000,126.000000,3064.000000,2.000000,3192.000000
