type,properties/OD_Pair,properties/OrgLat,properties/OrgLon,properties/DestLat,properties/DestLon,properties/Count,properties/Origin,properties/Dest,properties/OrgMun,properties/DestMun,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1
Feature,5790-5001,7.581611,-75.399711,6.248941,-75.577056,5673,5790,5001,TARAZÁ,MEDELLÍN,LineString,-75.3997109965,7.58161135294,-75.5770556256999,6.24894080931
Feature,73483-11001,3.624775,-75.093039,4.650528,-74.105972,5672,73483,11001,NATAGAIMA,"BOGOTÁ, D.C.",LineString,-75.0930388489999,3.62477501619,-74.105971599,4.65052840264
Feature,76001-11001,3.417587,-76.522332,4.650528,-74.105972,5657,76001,11001,SANTIAGO DE CALI,"BOGOTÁ, D.C.",LineString,-76.5223324663,3.417586541,-74.105971599,4.65052840264
Feature,23807-5045,8.172247,-76.062317,7.882717,-76.626186,5644,23807,5045,TIERRALTA,APARTADÓ,LineString,-76.062316628,8.17224654791,-76.6261859722999,7.882716696189999
Feature,23855-23001,8.257266,-76.149909,8.746423,-75.876635,5641,23855,23001,VALENCIA,MONTERÍA,LineString,-76.1499090095,8.25726617383,-75.8766346495,8.74642258289999
Feature,73624-73001,4.239483,-75.240683,4.439631,-75.19635,5585,73624,73001,ROVIRA,IBAGUÉ,LineString,-75.2406831252999,4.23948330635,-75.1963501464999,4.43963072518
Feature,5736-5001,7.07992,-74.6993,6.248941,-75.577056,5558,5736,5001,SEGOVIA,MEDELLÍN,LineString,-74.6993000374999,7.07992032695,-75.5770556256999,6.24894080931
Feature,27001-5001,5.692349,-76.651125,6.248941,-75.577056,5531,27001,5001,SAN FRANCISCO DE QUIBDO,MEDELLÍN,LineString,-76.6511246326,5.69234946496,-75.5770556256999,6.24894080931
Feature,54250-54001,8.577231,-73.094671,7.905267,-72.505591,5510,54250,54001,EL TARRA,CÚCUTA,LineString,-73.0946708066,8.57723102745,-72.5055909658999,7.905267116589999
Feature,19130-19001,2.623031,-76.570386,2.447699,-76.624469,5506,19130,19001,CAJIBÍO,POPAYÁN,LineString,-76.5703856419,2.62303108855,-76.62446903320001,2.4476985537
Feature,73675-73001,3.914292,-75.479651,4.439631,-75.19635,5308,73675,73001,SAN ANTONIO,IBAGUÉ,LineString,-75.4796506380999,3.91429203366,-75.1963501464999,4.43963072518
Feature,5093-5001,6.1091,-75.984191,6.248941,-75.577056,5295,5093,5001,BETULIA,MEDELLÍN,LineString,-75.9841907479,6.10909980729,-75.5770556256999,6.24894080931
Feature,20570-20001,10.414969,-73.587006,10.461893,-73.258517,5286,20570,20001,PUEBLO BELLO,VALLEDUPAR,LineString,-73.5870059445,10.4149687929,-73.2585170443999,10.4618933985
Feature,5837-23001,8.094097,-76.726432,8.746423,-75.876635,5274,5837,23001,TURBO,MONTERÍA,LineString,-76.7264318309999,8.09409673761,-75.8766346495,8.74642258289999
Feature,41020-41001,2.522556,-75.315695,2.935546,-75.277946,5254,41020,41001,ALGECIRAS,NEIVA,LineString,-75.3156946518,2.52255590505,-75.27794586940001,2.93554559249
Feature,52540-52001,1.627892,-77.460433,1.212839,-77.278125,5218,52540,52001,POLICARPA,SAN JUAN DE PASTO,LineString,-77.4604333055,1.62789177867,-77.2781249941999,1.21283942448
Feature,76109-25754,3.875474,-77.011536,4.576529,-74.215511,5175,76109,25754,BUENAVENTURA,SOACHA,LineString,-77.0115358955,3.87547430591,-74.2155110973999,4.57652885514
Feature,5138-5001,6.749876,-76.024566,6.248941,-75.577056,5114,5138,5001,CAÑASGORDAS,MEDELLÍN,LineString,-76.0245655731,6.74987568613,-75.5770556256999,6.24894080931
Feature,13670-68081,7.477475,-73.924558,7.067976,-73.846686,5054,13670,68081,SAN PABLO,BARRANCABERMEJA,LineString,-73.9245578327,7.47747543639,-73.8466857443,7.06797552653
Feature,5490-23001,8.426025,-76.787621,8.746423,-75.876635,5046,5490,23001,NECOCLÍ,MONTERÍA,LineString,-76.7876212535,8.42602528083999,-75.8766346495,8.74642258289999
Feature,50711-11001,3.127717,-73.751279,4.650528,-74.105972,4993,50711,11001,VISTAHERMOSA,"BOGOTÁ, D.C.",LineString,-73.7512790116,3.12771711129,-74.105971599,4.65052840264
Feature,47745-8758,10.780738,-74.723105,10.90618,-74.793567,4988,47745,8758,SITIONUEVO,SOLEDAD,LineString,-74.7231050771,10.7807379069,-74.7935670006999,10.9061797919
Feature,19075-19001,2.041394,-77.216541,2.447699,-76.624469,4893,19075,19001,BALBOA,POPAYÁN,LineString,-77.2165412102999,2.0413935585,-76.62446903320001,2.4476985537
Feature,5480-5045,7.243963,-76.436705,7.882717,-76.626186,4887,5480,5045,MUTATÁ,APARTADÓ,LineString,-76.4367046954999,7.24396317282,-76.6261859722999,7.882716696189999
Feature,66594-66001,5.340975,-75.730644,4.807002,-75.718267,4881,66594,66001,QUINCHÍA,PEREIRA,LineString,-75.730644161,5.34097451908,-75.7182670472,4.80700196952
Feature,19532-19001,2.113081,-76.985682,2.447699,-76.624469,4872,19532,19001,EL BORDO,POPAYÁN,LineString,-76.985681817,2.11308139072,-76.62446903320001,2.4476985537
Feature,70418-70215,9.380177,-75.268133,9.320684,-75.292023,4867,70418,70215,LOS PALMITOS,COROZAL,LineString,-75.2681325899999,9.38017706005,-75.2920234071,9.32068414476
Feature,95200-50001,1.336792,-71.95126,4.122958,-73.626878,4840,95200,50001,MIRAFLORES,VILLAVICENCIO,LineString,-71.9512603082,1.33679172995,-73.626877897,4.12295758045
Feature,86885-86001,1.030863,-76.614658,1.151519,-76.650874,4829,86885,86001,VILLAGARZÓN,MOCOA,LineString,-76.6146582665,1.03086306414,-76.6508743094999,1.15151944879
Feature,95025-95001,2.330797,-72.627971,2.567205,-72.63969,4800,95025,95001,EL RETORNO,SAN JOSÉ DEL GUAVIARE,LineString,-72.6279707884,2.33079719734,-72.6396901373999,2.56720535915
Feature,47001-8001,11.225703,-74.188397,10.979459,-74.816835,4796,47001,8001,SANTA MARTA,BARRANQUILLA,LineString,-74.1883970494999,11.2257031418,-74.8168347868,10.9794593386
